Depth,destruction,Victim's reaction,Magnitude,Intensity
23.5,6,7,7.7,8
21,3,4,4.9,5
10,2,3,4.6,4
22,8,9,7.6,10
40,7,8,6,9
145,8,9,7.1,10
12,2,3,6.7,4
94,4,5,6.7,6
8,6,7,6.9,8
41,3,4,4.6,5
10,5,6,5.6,7
9,5,6,4.1,7
130,5,6,5.8,7
22.8,5,6,5.5,7
228.4,2,3,6.5,4
30.1,5,6,6.7,7
43.98,6,7,7.1,8
80.78,5,6,6.5,7
10,6,7,5.1,8
100,8,9,6.4,10
7,6,7,6,8
5,5,6,5.6,7
38,3,4,6.5,5
11,5,6,5.3,7
25,9,10,7.9,11
65,2,3,7.2,4
5,3,4,4.5,5
100,8,9,7.9,10
10,4,5,7.6,6
33,4,5,6.6,6
10,3,4,8,5
58.2,9,10,8,11
10,8,9,6.9,10
10,8,9,6.6,10
14,3,4,6.8,5
18,3,4,6.7,5
33,5,6,8.6,7
13,6,7,5.6,8
18,7,8,6.7,9
67.2,4,5,6.6,6
15,5,6,6.5,7
32,3,4,7.3,5
10,7,8,7.1,9
40.16,10,11,6.8,12
33,5,6,4.7,7
20,5,6,7.2,7
40,9,10,7.6,11
15,7,8,6.3,9
7,5,6,4.2,7
66,5,6,7,7
100.71,5,6,5.5,7
25.99,8,9,7.3,10
27,3,4,6.9,5
100,8,9,6.4,10
100,8,9,7.8,10
66.56,8,9,7,10
552.06,4,5,7,6
27,3,4,4.7,5
170,4,5,7.3,6
65.72,5,6,5.5,7
122.57,6,7,8,8
5,6,7,5.1,8
405.69,1,2,6.9,3
35,9,10,7.5,11
33,5,6,7.7,7
81,6,7,7.6,8
57,6,7,6.1,8
230,9,10,7.5,11
10,2,3,6.6,4
20,8,9,7.3,10
120.06,5,6,5.9,7
5,1,2,3.9,3
3,7,8,6.3,9
15,5,6,6.6,7
10,5,6,5.3,7
39,8,9,7.4,10
133,3,4,7.1,5
33,7,8,6.2,9
33,6,7,8.09,8
15,8,9,7.6,10
7,4,5,5.5,6
73.28,5,6,5.5,7
11,6,7,6.5,8
24,7,8,6.8,9
19.73,4,5,6.9,6
192.955,2,3,6.5,4
9,4,5,6.9,6
10,7,8,6.7,9
41,6,7,7.3,8
33,6,7,8.4,8
33,8,9,7.6,10
33,4,5,5.4,6
11,4,5,7.3,6
17,4,5,6.7,6
34,9,10,8.4,11
110.34,7,8,7,9
33,5,6,5.5,7
10,2,3,7.7,4
10,7,8,6.9,9
18,4,5,7,6
16,4,5,4.6,6
52.45,5,6,5.5,7
137.05,9,10,6.4,11
20,6,7,7.4,8
50,4,5,4.5,6
110,8,9,7.2,10
8.7,4,5,7.5,6
10,5,6,6.1,7
10,8,9,6.1,10
5,8,9,6.8,10
10,4,5,4.9,6
154.9,6,7,6.8,8
10,6,7,6.3,8
33,7,8,8.3,9
122,3,4,6.5,5
20,7,8,6.1,9
10,5,6,6,7
33,7,8,7.3,9
21,4,5,6.4,6
50.37,8,9,8.2,10
70,9,10,7.2,11
7,5,6,6.6,7
12,6,7,7,8
33,6,7,7.9,8
14,5,6,6.4,7
33,9,10,8.2,11
13,7,8,7,9
45,6,7,5.2,8
35,8,9,6.1,10
80,9,10,7,11
40,8,9,7.3,10
598.467,0,1,6.6,2
33,4,5,7.9,6
14,4,5,5.8,6
21,6,7,5.2,8
15,5,6,6.1,7
31,3,4,6.6,5
10,2,3,7.2,4
10,4,5,5.3,6
41,4,5,6.5,6
25,6,7,8.2,8
100,9,10,7.8,11
29.95,5,6,6.9,7
41,5,6,5.9,7
33,6,7,6,8
26,8,9,7.4,10
10,3,4,7,5
55,5,6,8,7
35,8,9,8.1,10
21,5,6,5.6,7
20,5,6,6.8,7
10,8,9,7.4,10
35,5,6,6.8,7
35,8,9,7.2,10
